,rating,isEdited,date,userName,title,review
0,5,False,2020-12-23 07:09:20,babyaggu,Stop promoting reels insanely,I get the fact that Instagram wants to expand its user base remarkably and grab all the traffic of tiktok. But then you can’t disrespect your old people who have been following your old algorithm and have grown at a snails pace in last two years. We have invested so much money and energy to reach where we are today. I am still struggling to get my 2000 followers to reach 30k since one month. And new accounts are touching 100 in a week. Are you trying to mock at us Instagram?  What are you up to? Sorry but we can simply shift to reels like that. It works on a different algorithm plus we can’t droop to that level and create mindless videos which doesn’t impart any value other than fun. Had we loved tiktok why would we have remained so consistent with you. Plz do something for your old accounts as well. Or else we might leave your platform and go elsewhere. Many have started leaving as well. Instagram has become nothing less than a garbage now with stupid jokes and vulgar dances etc... Please respect your old and basic work ethics. Thanks.
1,4,False,2020-10-20 05:00:26,tanu_99,Action blocked ( need immediate action and help ),"These is 4th time happen in last few days and your team didn’t support.I’m a very regular and a very fond user of Instagram. I never really had any complaints but from yesterday my Instagram account faces problem regarding action block and I didn’t logged off but your app msg shows that I logged off when I logged in through the app but it said that the account has been compromised as I have shared my account details with a third party which was not the case by the way . I was asked to change my password and I change it then my all action was blocked like I can’t like any picture of my followers and unable to send requests, accept the request and comment it has been block for 7 days . This is very frustrating I reported so many times but didn’t get any solution and I mailed also but didn’t get reply . I have never violations any community guidelines of social media playform. I’m not involved in third party app . I request you to review my account again and recify this issue as soon as possible. It happens two times I reported so many time but didn’t get any solution from your team. If this happens more than you will be loosing your users soon. 

Thank you"
2,5,False,2021-01-08 05:35:46,_arinsingh01,30 sec length option not available in my reels Instagram account,"Hi there , Instagram has introduced reels and that’s very appreciative for us but something is wrong with my instareels . I m not able to record 30 sec videos as I m not having option for that only 15 sec is given to my reel . And this is like a fool of me bec everyone is having all functions all features so why not me ?? Most of the times I wanted to make videos of 30 sec but I can’t bec I m not having that why this happens to me ?? Why this inequality?? If u want to launch things then launch them properly so that everyone will get proper functions and features . And m adjusting always on 15 sec but some videos , some sounds can’t be done in 15 sec and tell me one thing why to adjust ?? If insta reels is for everyone , everyone is having proper arrangements so why not me ?? If m having adjustments what is the benifit of ur being ur big name INSTAGRAM kindly help me out of this and offer 30 sec option on reels of mine now this is really become trouble . Help me out Instagram."
3,3,False,2020-06-13 01:30:06,Shiv dhaliwal,Feeling irritating,"No doubt instagram is really good application but i  face so manu problms After reporting an issue around thousands of times, there is no one bother to reply atleast for asking whats wrong and why am Ireporting issue. This action was blocked. We restrict some actions to save our community, etc etc"" | dont even figure out, whats wrong if I am trying to like photos of my friends on social media. This is not something which I am liking random pics of anyone and doing any offensive things. I am trying to like picture of my friends who are my followers also the one who accepted my following requests. Have reported this issue thousands of time still there is nothing, no reply. My Instagram account is facing a big problem, my account is creating an issue, I am having an action block problem when messaging someone in my account, please request a solution to solve this problem. That this problem should dry up as soon as possible and fix my instagram account back. Someone has reported me wrong so please address my problem Madhan and to give fix my account Instagram I request u please | Instagram team started back my account Thank You."
4,1,False,2020-09-15 04:21:53,Genuine user.,Action block,"Dear Instagram iam your regular user and since 3-4 weeks iam facing some problems in liking, commenting someone's post or following someone. Whenever i try to do this i get a pop up message saying that ""try again. You have temporarily blocked from this action. Sharing your account details with some external app for likes or followers"". So with all my respect I request Instagram to go and check my profile ""mayur_bhilarkar"". You will know that I haven't used any of the app for likes or followers. Haven't done anything that's against your community guidelines. So I humbly request Instagram to remove this block from my account as I haven't done anything wrong still iam facing this kind of problem. Even i have linked my Facebook and Twitter accounts to my Instagram account. Iam a genuine user of instagram. If this problem arises instagram will reportedly lose many of its user. And a honest review now i have seen many fake IDs in instagram which have blue tick even many followers and likes but the person behind that ID is someone different but Instagram will never block theirs ID. I request iam facing a allot of problems in using the app i jave now reported this problem more that 5 time & haven't got a reply or anything like that. Pls fix this problem as soon as possible."
5,1,False,2021-08-29 14:20:55,akshi23,Worst updates of Instagram with unnecessary messenger features,"Please instagram bring an option to hide our comments from certain people on our posts. Because there are some people who are always eyeing on us so please bring this feature. To be honest, Instagram is going worst day by day. Why Facebook is trying to bring chaos on Instagram now? Let it be simple like the very old Instagram version. Why Facebook is being so many unnecessary features on Instagram. Let it be a photo sharing app and not more than that. Facebook is now making Instagram cringe by merging messenger features and changing the entire interface of Instagram. It’s not user friendly anymore. When Facebook started being changes on Facebook, we stopped using it and now the same is happening with Instagram too. Don’t let us stop using Instagram by bringing and merging Facebook with Instagram. It’s frustrating. Why do you want ya to chat with the ones using messenger? Why? Let the Facebook people talk on fb and Instagram people on Instagram. Why the hell you guys are merging it? And the iconic dm icon has also been turned to messenger icon. Tbh, it’s disgusting. You guys look into this please. And make it like the previous version of Instagram. No Facebook like things are required on Instagram."
6,5,False,2020-10-23 13:10:35,Sharon Chougule,Actions Being Restricted!!!,"Hello....I would really want to share this update/action! As I am also a frequent Instagram user and I don’t even remember violating any community guidelines or “hurting anybody’s feeling” through my post or actions. So my question is my is my account being RESTRICTED????!!!! Like I cannot FOLLOW, ACCEPT, LIKE, COMMENT, or do anything with my account anymore and this is being happening since more than Looongggg TEO WEEKS!!!! I’ve Reported this problem like Several Several Times..but there was No Response from you end. I’ve been reporting trying to some how try and get connected to some support, help regarding this situation and still there is No One To HELP OR TO CONTACT!!! Even after repeatedly Reporting the error to you guys and no response no actions been taken yet!!! May I please know the reason of this problem Please as it’s really is Frustrating to keep on waiting and waiting and waiting and not even any actions or any response no emails from you guys!!! Please kindly look into this matter AS SOON AS POSSIBLE. Thanks!"
7,3,False,2020-10-10 17:00:33,MonikaVerma4,Disappointed with no response to problems,"Dear Instagram,
I've loved your app for all the good reasons. But since past few months I've been constantly reporting about my problem and it is not fixed till this very moment. Your app is providing various fonts on story button and even after updating with all the latest versions I'm still not getting those fonts in my id. And even after reporting like 4-5 times, there still no actions taken. 
And its not about only font styles but it is about the difference you guys are creating by not providing equal options to every user. Even in my nears and dears i see they don't have music on story option even earlier it was available and one day it's gone just like that. The same has happened with me in the past, thats not professionalism that your app suddenly take away the existing options and some have opportunity to use and some can't get same options with all the latest updates. I have never experienced this kind of issue in any other application, where everyone have different accessibilities with similar updation. This is very unfair and disappointing."
8,5,False,2020-09-10 02:41:55,___itz_ashu___,Action blocked,"After reporting an issue arkund thousands of times there is no one bother to reply altlist for asking what’s wrong and why i am reporting issue . This action was blocked we restrict some actions to save our community etc etc , I don’t even figure out what’s wrong if am trying to like photos of my friends on instagram . This is not something which i am likeing random pics of anyone and doing offensive things . I am trying to like pictures of my friends who are my followers also the one who accpted my requests . I have roported thousands of time still there is nothing , no reply my instagram account facing big problem , my account is creating issues i am having an actiona block problem when uploading a post likeing a post and commenting I cannot able to upload my posts on instagram please I request u to please solve my problem please that this problem should dry up soon please solve my problem as soon as positive 
My instagram id - @___itz_ashu___ 
I am a boy from uttar paradesh (india) 
Thankyou"
9,5,False,2020-06-26 11:44:07,oajcidmf,Actions blocked.,"I’ve been blocked from liking and commenting on Instagram thrice by now but those blocks lifted up within 24-48 hours. But on June 26th, 2020, I received a pop up message from Instagram saying that I had been using third party services to boost my likes and followers. I have never done that. Normally, I would’ve waited this one out for the next 24-48 hours, but this time, Instagram has blocked me for a whole week (till 3rd July, 2020). I’ve also gotten a warning that if they suspected I was doing this again, they might terminate my account. Again, I’ve never used third party services or apps. I really have no idea how this happened. Have I been hacked? I’ve been using Instagram for four years and I have always been very responsible. Is it a bug in the app? Also, I tried reporting the problem multiple times but I got no response. I really do not want to be banned. Hope you look into this matter. If not, I have been considering uninstalling the app."
