,userName,date,rating,review,title,isEdited,developerResponse
0,ABWolverine,10-02-2021 18:45,4,"The initial roll out of the app has been good. The interface is fresh, colour scheme is also mild. It is closer to KakaoStory, than Twitter, in that sense. 
Given the user base is growing exponentially at this point, glitches are expected and I hope the developers scale up the server and bandwidth facilities soon. 
Some search, tag and syntax issues are present and I think the developers will work on those soon. 
I hope the ethos of the app remains the same on coming days. The domestic servers, the freedom within the constitutional framework of India is the biggest catch of the app. If it becomes user friendly in coming days, it might soon be a serious contender for both Twitter and Facebook, for that matter. 
All the best to the team Koo!","Very Vibrant App, Hopefully Scales Up with Demand",FALSE,
1,Bongoshingho,18-08-2020 13:33,1,"Hi
I have absolutely no problem as such with the concept of this App. Koo is a great app for netizens from India. However, if this App truly claims to represent the pulse and the culture of this country then I fail to understand how an important aspect of Indians: multilingualism was overlooked by the developers. Many Indians are bilingual at least, and I'm not talking about English as one of the languages. One can speak odia and Marathi. Or Telugu and Kannada so on and so forth.
However there is no option to use Koo simultaneously in two versions (ie. two languages) The condition for that is you need seperate numbers. I don't get the logic. I have just one number yet I speak three languages and I'd love to use Koo in three languages as well. Now, where should I get three phone numbers from?
Please change/modify this feature asap and make one number to be sufficient for the hundreds of thousands of multilingual folks of this country to use Koo.",Unify the App. Take in to consideration the multilingual folks of India 🇮🇳,FALSE,"{'id': 17666638, 'body': ""Hi, Thank you for your feedback. We do understand your concern, but Koo is a 3 month old app and we are continuously updating the app to add features. You have rated us on the basis of what we aren't, so request you to rate us based on what we are and take off since 1 star pulls us down in App Store. You can use the language in your first preferred language till the time multilingual usage is introduced. \nThanks in advance 🙂"", 'modified': '2020-09-03T08:24:46Z'}"
2,Rampratap Mahawar,01-06-2021 04:17,4,"Will directly come to points which developers need to look into to make the app more user friendly to beat the competition. Points for IOS -
1. Touching OTP number doesn’t work, need to manually enter the digits 
2. Once gone into search window, cancel button doesn’t work to come to home. Need to clock Home button separately 
3. Near like/rekoo tabs, more space is being used as blank. Space can be reduced to fit more koos on screen at a time. There is a lot scope to improve on fitting of text on screen.
Etc",Good app but need to improve on many aspects,FALSE,
3,ThakurPraveen@!7,01-06-2021 16:19,5,"Much Love ❤️ and Respect to the Developers. Never used Twitter/Insta, FB account and ID already deleted but this one app is exceptionally mind blowing. Never expected that an Indian regional social networking app can’t be this good at launch. But wow the day I installed it and created an account with Koo, it has become an addiction that had never been to any other such app ever. 

As obvious the App is upgrading day by day together with exponential growth in user base, would request to add more features to include a Gif/Sticker comments, to be able to download videos/pics from the posted Koos, colour schemes/themes for personalising the interface. 

Many Thanks and All the Best.",Get KOOed to Koo App,FALSE,
4,iron patriot 93,15-06-2021 16:14,5,"Terrific platform with a not so terrific app. The UI is slow, not easy to use and lacks most basic of features. The feed algorithm while not becoming an echo chamber like Facebook should strive to become more like Twitter which will give more relevant koos in a user's feed. Please add option to report handles which display pornographic and objectionable content. Regardless of all the flaws the platform has insane potential and needs to scale up exponentially to outgrow other platforms not just in India but also in other countries.",Update update update.,FALSE,
5,SachinDash,25-05-2021 11:22,5,"This is my review after using koo for more than 3months. 
1.After I joined on Feb 3rd, my first doubt was whether I’ll get OTP to my overseas number or not, but I got it with single attempt within a min. 
2. There were initial glitch, where my koo id was changed to some random id for which i raised my concern, but after their next update came it was resolved. 
3. Initially there were problems in playing videos but that was also resolved with my third update.
4. Recently one week back my account logged out automatically and I couldn’t able to login as i was using a wrong number to login, so raised a ticket. It was truly surprising that I raised a ticket at night around 11 but I got a response within an hour and with few email exchange they resolved my problem. 
As an Indian I feel proud and wish them good luck to continue this dedication to become a global leader.",Responsible koo,FALSE,
6,Reon ML,09-02-2021 22:57,4,"Why it’s white in color? I want to have it as black color background not white. Installed your app and will continue using it but please make it user friendly. That bright white color without any option given to chose theme is kinda annoying also why phone number is required to sign in? Kindly don’t disappoint your users for such small small things, I know it’s beginning and I wish Koo to succeed but kindly hire a Good UX guy and kindly take each reviews seriously..Goodluck and thanks for making such wonderful app 👍🏻","Give dark color theme, why so white?",FALSE,
7,Ketan Gothi,11-02-2021 09:00,4,"Everything is going great just something i wanna tell, remove the no. Of koos shows on people dp everywhere we see on their koos on other people koos comment section remove this i don't wanna see how many koos they have done every where just keep it to their profiles. And add koos insights it will be great add individual koos insights it will help us grow!",Remove this thing! And add this feature!,FALSE,
8,@harsha_the boss,12-02-2021 05:30,5,Improvements on the ui side and also more people should start using this app. I’ve been on the app for more than 3 hours or so checking the people who are in it. Right wing activists are the most common users. For social media platform to be healthy. It must have a competitive audience but I don’t see that happening over here. The experience and the idea is really great. Plus i saw in the news today that there has a data breach.,A good alternative for Twitter in a desi twist,FALSE,
9,Hbk2007,11-02-2021 20:43,5,"I saw the version number and it’s still in 0.0.X , so very early days, still the app is quite stable, no issues found so far. Hope I can get a dark theme. But loving the clean look nonetheless. I am going to use this more than Twitter . All the best to you guys, hope you get a big break 👍 I am going to subscribe to your IPO when it gets listed :)",Promising start,FALSE,
