,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOFy06BeUeh2aPRuz7Bxu0lSC8J4UH2VTyTCQ2gH9C2ZeGO7zgjz0FTnCnDDX4_afi-K8bWR7HbpDchVFw,kimberly stewart,https://play-lh.googleusercontent.com/a-/AOh14GhFXxVcVaeDIr02iHH17_87RW2VcVmfaXW5WXS5mw,"There are too many glitches, it freezes and the app crashes after 2 minutes of use ever since the new update. And please bring back the option of whether you want to separately quote retweet or just retweet a post. *Update: aside from the quote retweets, the same thing from last year is now happening again ever since the new update.",2,179,9.20.0-release.00,2021-11-26 14:35:46,,
1,gp:AOqpTOEvAgHkgiAnqN8TeuIREta4Rd7gzTKyo9GX6isTgczJgpmuFrLSNHRO4iAv7unFyyxwXeJGNEs5mlbDoQ,Izuku Midoriya,https://play-lh.googleusercontent.com/a-/AOh14GjLxi092ChfVh5QtKZ7JMn0-EA6cfukht3kpe2Zqw,"Twitter please fix this asap I can't receive any new notifications and it's only one at a time. I can't scroll down for old notifs when it's only that keeps appearing there. It doesn't even seem to reply to other people's tweets cause I've been commenting to people's different posts for months now and no one seem to bother replying to me, no notifs",1,412,9.20.0-release.00,2021-11-20 11:21:30,,
2,gp:AOqpTOGwYagIau5Cja8YznMgWWw58O2lI2o0WaHSD3JIz0Ke70DHh4Uc8fxgNQZqBe6zLQuvYQD25ZfxJQcYOQ,Rachel Baker,https://play-lh.googleusercontent.com/a-/AOh14Gg3mTDBw6DP2bfCMmnxbII8aaxJBPVqmJ4SB7b9,"Since the last update, I haven't been able to reply to tweets and have had to uninstall and reinstall the app twice. The problem would be resolved for a bit then it goes back to me not being able to reply to tweets and have had to resort to using the ""Quote Tweet"" tab to reply to tweets. I haven't had problems with the app up until this point and would like this to be resolved.",2,166,9.20.0-release.00,2021-11-22 06:27:39,,
3,gp:AOqpTOHQl3DxzgHEfJ-YD4W6BgTyAzHiRSBAQn1ILIckFdOcjaX7sWHYuNKKKHCmXZsYwijrRqFQlkXjWGp0Ng,Heather Valentine,https://play-lh.googleusercontent.com/a-/AOh14GiXBQjfQji2FvLMkepIovayCYohaHEs8DHB4XFePQ,"Can't post replies on the app even after a clean install. Works fine on desktop. Works fine in a mobile browser. Just the app. I see I'm not the only one with this problem, and I also see that nobody that could do anything about it cares enough to fix it. Nice. 🙃",1,147,9.20.0-release.00,2021-11-22 23:12:44,,
4,gp:AOqpTOFsB6OW-7EWA9eDKrcHYE3R1LXesbKnAx0RIoeU9OoYHyuTjmSpmYTbEyVo3AfczvPJBzRlyQm09VFQwA,Sherlock Holmes,https://play-lh.googleusercontent.com/a/AATXAJx2apFvZiDrF22pABND4jd-kte0mry6Hw5nloSf=mo,"notification feed doesn't load. it used to show me all the posts that my notifs on squad posted before. not anymore. it's just a few which was recently posted, not even 1 or 2 hours ago. also i still can't see worldwide trends. pls fix",1,10,9.21.0-release.0,2021-12-04 01:01:07,,
5,gp:AOqpTOFhe827omo2jaLC6roYFzJEUpLfuNcae4BIkrLcnX7vqtiF8Ct8SIG5kfJR76ewYYfid4vn1bkwoJI8HQ,Dee Stanton,https://play-lh.googleusercontent.com/a-/AOh14GiogiDZKq24vK9Es7PG6j16yM5BrDb02Y-gI4e2ig,This app and the site itself is really user friendly but in this day and age Twitter needs to keep up with the times an offer an edit feature. We all know that everyone makes mistake in writing so please offer this feature to better the site. Even Facebook has it and that says a lot.,4,202,9.20.0-release.00,2021-11-18 16:40:13,,
6,gp:AOqpTOHor3ncd-48nltNor-BdDRVgSb4YJwklI7MQjJ6WzAfRWy1cbCXodhDUgoU7NvusBCDqL35KMBNEwhR8g,iamkeb,https://play-lh.googleusercontent.com/a-/AOh14GgxwnRK9vspeA3kgrKnOlmuTdXv7F8De1I6vfel1g,"Hi, I just want to inform to you that I can't replying to others on my account. It keeps on showing tweet failed to send. I can do a thread, but I can't reply. Everytime it happens, I need to reinstall my apps. I have been encountering these problems for 3 days already. Please fix this. and I can't approach you through the email given so this is the only way I can contact you",1,170,9.20.0-release.00,2021-11-19 08:38:28,,
7,gp:AOqpTOErpPE1JCYNMhp475JMyjlJxNGTQ0BFGyqiPkWqPQoiBUhxGbrDWFyrmwaEL_rvUB6A7sKtNrwn0B-e4Q,Neelesh Chithru,https://play-lh.googleusercontent.com/a-/AOh14Gh_KhygX_DCqj9J9Wre9O_Wnp3D5XoyTj82YIgn,the new layout looks really bad and it looks like using Facebook or something. I don't have spaces or any of the other features I can get.... DMS are very laggy as well. these things need to be sorted out with an update so that everyone can have a similar experience,1,58,9.20.0-release.00,2021-11-26 16:28:42,,
8,gp:AOqpTOEWKJcm4nY9kOC6wEgwGB4sO9iERO8JMahb-LVElLzq1PPfXDGzOMHJmw6St_kHAcguMzabYrcIbOyhPw,Ayreon Noyfb,https://play-lh.googleusercontent.com/a/AATXAJy8VQbq5NjCtg1pWBLjMr-QV_KKspD13KUttWtY=mo,"Imo it's totally weird that if you tap the ""load more tweets"" link it jumps to the newest of those tweets. I read from old to new and it's annoying this app makes it hard to do so. Leave me at the same tweet and stack the loaded tweets above. Also the app often is unable to play any video.",3,38,9.20.0-release.00,2021-11-29 04:36:22,,
9,gp:AOqpTOFISRxBK03Ofh1T9WaQsQgfJAfkWf-1gGaXfnLqz3SGLQeD8PGejVscxp3kjr7U_dMnsLKnHSRidlh9Jw,Thomas Omelie,https://play-lh.googleusercontent.com/a-/AOh14GhO15H_wdWMCLI5NMeU4Mmez3dXur8BqGu9S4S2Dg,"Pretty good app overall, but freezes and crashes sometimes. Also, after recent update I cannot press the ""view tweet (that I just posted)"" button because it's under the + button.",4,1,9.21.0-release.0,2021-12-04 14:20:54,,
10,gp:AOqpTOGRo10yZnjYaiCvcz-gMpuQ-i2n0uLTk4PC4FXO14VX4OqTxRtUkI-Baz69jStWLAfuXiPF9ni-gEiTDw,Tyler,https://play-lh.googleusercontent.com/a-/AOh14GjKc_qUw_bry2DUi_eUpK0xXH2xBaDZpDB_l_0c3w,Cant see all my notifications anymore. Must've been a new update but it sucks. Can only see like 10 tweets from my notifications section then it just doesn't allow you to go down anymore. Please revert.,2,7,9.21.0-release.0,2021-12-05 11:26:47,,
11,gp:AOqpTOG9IpnQ1EWQfChI0SjqjAhl0RzNQCuKcuvZ9w_Cqvj4E4QYZDmqp05kNG-r6UEn7x3ShJhK-6fhK0Ikfw,Sheanne Trixie,https://play-lh.googleusercontent.com/a/AATXAJzE5L-leDzUJdBubYddhtZuqjOmiYZnOKXnTWGbNw=mo,"Please add the color theme in mobile too! I really love that feature and I felt that I fully customize my account with that. Other than that don't change. Even the edit button, don't add that anymore, never. It's better that way.",4,238,9.20.0-release.00,2021-11-21 10:02:49,,
12,gp:AOqpTOGPk4yIMpMHbsM7mfWunliUf8taZjm7oEFE6Y7u9zZZZHhPFO7dWhG2D99BHbhhiOayaIRNE-vruzq0lA,P G,https://play-lh.googleusercontent.com/a/AATXAJz0xxHd9UikxiQJIXsfS9DcSkZhY-9Fwz6-Bla5=mo,"It could desperately use an edit function, but it's been very solid, and I appreciate that they don't keep fooling with the design like Facebook.",5,53,9.21.0-release.0,2021-12-04 00:44:57,,
13,gp:AOqpTOFNHwtoexxtar1cj4FZMwJ5FxOgYHwk5sLP5YLDCMCEd4aLQhx8fenNWI0pm4hIPbgIBFcBt2cAYn2qVA,Juan Carlos Gutierrez,https://play-lh.googleusercontent.com/a-/AOh14Gh46cBKg6f-wRPZL70QohTVKlbJu8JU-YgAuQbcag,I don't usually do app reviews but the app studders so much when scrolling. It's annoying enough that I just scroll about 5 times and just leave the app. I keep updating the app and that studder never goes away. It's bad enough that I'm using Facebook more. Im running it on a pixel 5 on Android 12.,3,38,9.21.0-release.0,2021-12-02 10:59:53,,
14,gp:AOqpTOFt-1ZjHLFnXI31cXZJx63WDv-6lWX4uyTrpgpUOW97iAik5fCoswPPGz1Q5zErJdIeGXwWlMT2PgDcHw,Char Alfves,https://play-lh.googleusercontent.com/a-/AOh14GigLe3HjAbN79581nAW6GFzjzXxBOmweASD2Yraww,"I dont know what happened to you twitter, but my only complaint is that twitter dislikes the tweets I like, sometimes those tweets that I retweeted are deleted, I mean they are unretweeted when i saw the tweet again (tweet that I retweet), then now it's annoying because I can't even change my header in my 3rd account, it always failed to change, sometimes I can't reply too!...(just understand my English, because I'm not very good)",1,89,9.20.0-release.00,2021-11-23 14:09:19,,
15,gp:AOqpTOF1qvIcjjI1I7eWp9bRdvrzVc5DzvNnkufDQYzhfY3C2f6rnIiok1QggB_3XxgJCbgMAcVe8kCPtMV1gA,Gerald Banks,https://play-lh.googleusercontent.com/a/AATXAJykySBSMqW93sTsYaF9EEWIRCOFyiK878iAASUd=mo,Can't switch from twitter mobile to app when I click open in the twitter app I get webpage not found its really annoying when I try to click links to view in twitter app but on a good note I use twitter less now because of it to much of a Hassel to search for a story without a link to take me there.,1,16,9.21.0-release.0,2021-12-03 19:09:03,,
