,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOFB-ewH6fxZHRZnBMwgUe3f9Woj3VUkJirqMUnDSG0pfwIRNKbHbTpqUICt4DuMo6IOleqhTIu63Fk0Ig,Radhika,https://play-lh.googleusercontent.com/a/AATXAJwJTYP_gVC6p_Wrw3pTVxdT9MCACNjD50bQ06GZ=mo,"My Insta account was working fine until Sunday but suddenly uts stopped working. It's showing as everything has been deleted from my account.nothiinh is showing on my timeline nor on my profile.dont know what really happened.i have dropped email to support , raised case through help center, report problem as well but not getting any support from Insta team.please look into the issue.",1,68,214.0.0.27.120,2021-11-17 20:29:19,,
1,gp:AOqpTOFRAtLjU7w-j-aFCtTXTVFAhTHFZZauQGqvBiUodWo7UaZkElgfZ5pF9xFUasrqY8aicg-_WhCujfeYrg,mayank upadhyay,https://play-lh.googleusercontent.com/a-/AOh14GiffujevvWm10KPFwPoUdfrr0dc38_8x1oZA15R_Q,I would give it one start.. whenever i post story there is didn't show how many friends watching my story. And second bug is when i watching reels and scroll down and watch random any reels .there is didn't watch account name.i have another query. When i switch my professional account in to my insta page there is dark theme applying automatically.and i switch back to my professional account same issues facing. Please fix these bugs Thank you instagram community,1,124,214.1.0.29.120,2021-11-20 12:54:42,,
2,gp:AOqpTOENgkPhHQMPWkOxenkwb9ZxwOcxrWtm4znjMPsSj6Ph4e9hmrl5lzeAGUhz_YVjKBBL9nAMOkG3Hay82w,Nihar Zaveri,https://play-lh.googleusercontent.com/a-/AOh14GiDUe82IwfzGmI1V8RagJygvnALA4JMCIZi-4MXmw,Dear instagram... The app is quite good but there is a problem in uploading stories in the app... It takes too much of time in getting uploaded... Sometimes it becomes quite monotonous and boring in uploading.... I hope there will be a solution for this problem....,5,78,214.1.0.29.120,2021-12-04 14:50:09,,
3,gp:AOqpTOHKMez6h7Ik5HcQW4Sde1zwhwE_1WoMqgx_VoSoiYd4GvqEWsMRUZSJDzEGZioe6ht-U74N2z08D_ZpVQ,sptrop,https://play-lh.googleusercontent.com/a-/AOh14GhpIzCmZi_CXWl5_XDFOsRK99EyOHrClj0QdiWoag,"Lot of internet connection issues, stop loading search section after 2-3 time scroll, massage notification is slow like if I sand a massage and the other person is getting a notification after 20-30 mint later. The user interface and in app communities are good except that every thing is bad in this app.",1,15,214.1.0.29.120,2021-12-02 01:48:04,,
4,gp:AOqpTOEmAUcdp_daS7-OgR-2EsDlh9sGMwljUJ_ClgpZwpPCvk2zMg-tZ6Dcge8-a6iOBl3q3YPvxjsTcqGqBg,Sriparna Roy,https://play-lh.googleusercontent.com/a-/AOh14GiOZmdUT98W4njciHs2VNghq1ZUDBv-r3kfLFXUnA,"I don't know why there are so many glitches in this app. I am not able to follow anyone from the past 3 days. I am not able to change the theme of chats. What the hell is wrong with it. Its getting frustrating day by day. Please fix this problem, Instagram community.",1,25,214.1.0.29.120,2021-12-03 21:34:10,,
5,gp:AOqpTOGni8DBaYigBfbWSxYz7dxGvJ0gxnlPanKe1xGtQe-F7yb-tXmUloufI0AFeuZd-nX7VDlRP2bk2SSTJA,abhishek Kumar,https://play-lh.googleusercontent.com/a-/AOh14GgVf1eQVfv_L6_dka6c4EfuZejHe15xxCJfi3H00w,It's been 3 4 weeks ....it is showing couldn't refresh feed ....I don't know what is happening and it's not happening with only me....plz fix this ASAP. I have raised complaint several times bt i get no reply.....I must say very poor management and customer service.,1,83,214.1.0.29.120,2021-11-23 16:44:25,,
6,gp:AOqpTOG5TvrKxSjXhIqHzCzvVR6-dIC6cfLcWvXDs-s6Xy8jEnm02WJOsJJRuLx8sQnylg20U4XcU6Awmr8SfQ,Dilas Rafiq sheikh,https://play-lh.googleusercontent.com/a-/AOh14GhmjhakeQAr4Tc8og86Zo4E6VUbs1WYAEPdzafZMg,"Hey instagram! I reported an issue like 20 times! My account isn't working @Dilas.0x Whenever i open it , it shows (unable to connect + try again later) i geuss someone has reported my account! But i didn't do anything? Please help me! I want my account back that was my main account @Dilas.0x thankyou instagram! Hope you'll fix that",5,2,214.1.0.29.120,2021-12-04 13:47:58,,
7,gp:AOqpTOGI9khbu0f7mDK9qEjCbOx9dlkX-MXXzVCZmA1_cc3GnK0CBBb7v5jLXJtUCmEzz_54gTKGl0OLMpiTlg,Immortal Souls,https://play-lh.googleusercontent.com/a-/AOh14Gixk0XcXkT_GD4NFLUhkcvLtRZZ0vxj7WG52_Vp,"What is happening with my INSTAGRAM app it doesn't work properly and I am installing this app two times a day but unfortunately it doesn't show any image on Instagram plateform,I am also clearing the app data in a day and the app works for some time after that it shows no network besides this app all other apps are working completely 😭😭",1,15,214.1.0.29.120,2021-12-01 10:02:38,,
8,gp:AOqpTOG8AFCWfSO76wZujtaaPy6pdZwY-_qwPXFe48_-V7M-FLBsYGvVMXUVhKl2v4Jart9mJyD8dmzvv7KcRg,Reddy kiran,https://play-lh.googleusercontent.com/a-/AOh14Gi3vESklCvjmfIpV_7zZBMNArMe05guUzVROTFAow,Everything seems fine but despite of my phone's capacity it's still lagging while shooting reels alot of frame drops happening don't know what's going on but also instagram keeps holding my account without reaching my videos to my followers this is what annoying me in the first place please solve theese issues and if you are willing to support me share me some response please guys my id @reddykiran_c.6,4,1,214.1.0.29.120,2021-12-03 06:47:04,,
9,gp:AOqpTOHz5PW-2Opxv8Jpb2I3K_9HVSiz3jl282uuklrg9G3iq2XPEV2mfVk3uG_BAgtce09ffBRYWVpBS4g_2Q,Vishakha,https://play-lh.googleusercontent.com/a-/AOh14Ggmri2N0XHD-ZytBD4LYqZ6X7DiLFAxkGc1qQ212Q,I would give it a 0 star..... What has happened to Instagram...it was all black and showing to refresh and suddenly I got logout now I can't login and when I try to login it says to enter verification code...but after the code...it says error.... please do something and fix that,1,72,214.1.0.29.120,2021-11-23 20:32:49,,
