,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOE9g8_pNSDmGoJC1kHGVeajQTAD31Fyr2oK9qf1M5Pj9dxp6MP2v8vxTBkOAHsBMXAIkC537dTmtIVtCg,JS,https://play-lh.googleusercontent.com/a/AATXAJynRcFmBBip6FtxAfBgZ6IUw4W5sB4jW-cT9_4h=mo,"5 Star !! Brilliant !! 8 Sep 21 Suggestions: Pls make it better than Twitter. There are too many recommendations, on main screen. Eg. Follow him /her, or follow filmstars/politician / Journalist etc etc... Pls remove all this. Pls donot display embedded pictures. When U click the tweet/koo , then only we can see the PIC/VIDEO ETC. The landing page shd be clutter free. !! But let main screen be in English, As we need to be alternative to Twitter, across world. Pls change.",5,73,0.93.6,2021-09-08 12:49:02,"Hey! We have developed a very unique feature which has never been launched by any company in the world. Now you can koo in multiple languages all at once. 🙂 Do try it out here kooapp.com/create Felt happy? Encourage us with a 5 star and we will be grateful to you 🙏

-Your Friends at Koo.",2021-07-29 17:32:46
1,gp:AOqpTOG9IgmKY5hZSrxItBsWONwIryrsd1dck5gMCv2SliluuFhQ3dMYwDGHBSK1ki_GgLp1hCgP0WMPGTgG2w,Mukul Thakur,https://play-lh.googleusercontent.com/a-/AOh14GgFM8JgYfdbDjAHShSgaCwgmqw_7f_pWkHA_knSSQ,The app is very good initiative and every Indian should be proud of it. Having said that what my experience is that load time at times is huge. One needs to keep waiting for the content load. That's why giving 4 stars. Keep up the good work team koo. People have very high expectations from you guys.,4,38,0.90.0,2021-06-26 21:54:55,"Dear Mukul, Our team is continuously working on improving the app. Slowness/lag issues might be affecting some users as our system has seen a tremendous spike recently. We are still a young company with limited people working hard on our product. Please be patient as we resolve this. Do encourage us with 5 stars and we will be grateful 🙏🏻",2021-06-26 23:28:16
2,gp:AOqpTOETJKzo_KmnRfcFrBEfAzFJeO6YSXomLMyJggjvYfzUGGVGhATDlK9MpdnYUhMFYTXxN8C5quuV0RBa4g,Ash Dellen,https://play-lh.googleusercontent.com/a-/AOh14GiULcWDFJybyhG2RC7mqkH0nMyOEwOQ7QunmgT8,"I'm loving it, no compressed images anymore. Live your life with a crystal clarity!",5,2,0.93.6,2021-09-21 18:20:14,"Hey Ash, thanks for the review. Glad that you love the app. At Koo, we take great pride in providing a great experience for our users. We request you to invite your friends and family onto the platform. Thanks for helping us to reach out millions of users like you. Your friend, Mehar",2021-09-22 11:23:23
3,gp:AOqpTOGqWt82vsm4D1R2vQG3zj61PVFgsRLWpNHoRVgDCx1kMURs2mKFt91EqtR70rMu9WgNfsJzfYpQKJ6Rhw,The Ancient,https://play-lh.googleusercontent.com/a-/AOh14GibIZKdJGxuw7Ju6Rm-nSK47q49jlFsFS-dpGaa2A,"Very good app but problem during search people, nothing happen . Pls solve this . If there is more than 5 star im surely give it.",5,2,0.93.6,2021-09-14 16:07:42,"Hey, Thanks for the positive feedback & We're sorry to hear you're facing issue while searching people. Could you provide more details(screen recording) via redressal@kooapp.com or whatsapp at 9760835380?We would be happy to solve your concern in no time. Looking forward hearing from you! ~Your friend, Vineet.",2021-09-15 09:44:24
4,gp:AOqpTOGgAriK10ANF0rNiIVxfOYNi2Tarq50r_4Uv-PufxJtMlceQUGRNuFFjqOWKy3H80s6Kwz1BYSDBV3Jog,Arnab Mondal,https://play-lh.googleusercontent.com/a-/AOh14Ghf-Md_vWtNmmoZlB8AeFqcm7ZNAsazg-Axm7xEAQ,I can speak - thats the best part. Within the graceful limit you can speak your mind. There is lot of scope for suggestion AI. The AI can learn to extrapolate the suggestion a bit to make the experience enriching. But good job must say.,5,60,0.91.3,2021-07-01 20:19:50,"Dear Arnab, thank you so much for the feedback. We are happy to have users like you who take out some time and review us. We will definitely try to meet up with your expectations. Our team is working all day and night to make this app better. Please be patient and you will witness a KOO with so many features. Encourage us with 5 star ratings 🙏🏻",2021-07-01 16:10:30
5,gp:AOqpTOExIEDVLKap4srkNShbJnXoJgseV7QUC77RiBXMydl10ny1Mi-6VzUFdS24uSO5xuwevzLXK02Nr_G7pQ,Anshul Tilak,https://play-lh.googleusercontent.com/a-/AOh14GiWSQmNyUztt86B6vgIf2I6yEPU1m0AxX_hRJtjAA,"One of india's best app, updated version is smooth and fast.. Edit koo feature is excellent which allow us to edit koo before any like or comment. 1.reduce font size 2.after rotating mobile in landscape mode video still remains portrait,fix it. 3.it shows unwanted and repeated koos but not many that i follows. 4.add a notification feature so that we can get importent notifications from followed accounts. 5.improve search. 6.add koo translation feature. 7.dark mode 8.change theme feature &more...",5,40,0.91.3,2021-07-01 18:42:28,"Dear Anshul,
Our team is continuously working on improving the app. Slowness/lag issues might be affecting some users as our system has seen a tremendous spike recently. We are still a young company with limited people working hard on our product. Please be patient as we resolve this.
Do encourage us with 5 stars and we will be grateful 🙏🏻",2021-06-18 17:45:43
6,gp:AOqpTOHLeWcNwC8m1n4PWIziRZIcrgwKQNY9zUG3S9RTzV2arSeezF59y1Rb6SESQAy4Ygaj-oNLCq_RXlD-Ng,saurabh gupta,https://play-lh.googleusercontent.com/a-/AOh14GgF9rvVukRhhUiTjSQFv_ZWg1AVPlrzqVPEyg38xA,"Great Application, has improved a lot in past few months that I have been using. The lagging has been resolved and a dark mode has been added. As the number of users increases, the application will become even better..",5,42,0.93.0,2021-08-06 11:05:46,,
7,gp:AOqpTOE58kp7jmO3XoCS1mjOJaSYCDkj4a-oDjydx72gUTUfggoKNsFLx8o_WGkamUn7J17glcK3m5BVpMyjRA,Hiral Kataria,https://play-lh.googleusercontent.com/a/AATXAJy2C-ugnqouLlBS8kn6-AOx-0mj3J14zt_5tXjl=mo,It's really slow! Whenever I open this app it takes 2 minutes to load then I try to Koo something then it again stops working. Please kindly improve this!!!,1,12,0.93.6,2021-09-15 09:45:57,"Hey Hiral, Thanks for sharing your concern. Our team has acknowledge it and have released a smoother and faster UI. Still facing the slow issue? It's probably because of your phone build or the network issue otherwise, share your handle if your app is too slow at redressal@kooapp.com ~Your friend, Vineet",2021-09-15 09:49:53
8,gp:AOqpTOEOXkvFXFFaB-rwan3KfFHgGRe-V637WCrThhOtF4EYCci7oV-38jdyi4KxLHS7nnfgBeRDfBpGSdNmeQ,neethuskumar kumar,https://play-lh.googleusercontent.com/a-/AOh14GiRUnks7TB3XFJgUll2Ysq1ZcKgRdFxTnzVsg1jhA,"The app development is really good but as A QA observed many issues while just doing the exploratory testing like the count of comment increase in post activity screen and design need to be more attractive because for social media kind of app need to attract the audience first New features need to be added like msgs,game planings and all Design section improvement requires a lot like paddings on corners, overlapping of texts all these needs to be reduced Plzz feel try to reply for this comment",3,39,0.91.3,2021-06-30 00:59:37,"Hello! Please accept our apology for not meeting up with your expectations. While we are gonna have many features released soon, we request you to be patient and bear with us for some time. We are a small team and have built all this in one year. Our team is working on improving the app. Do encourage us with 5 stars and we would be grateful 🙏🏻",2021-06-30 18:00:20
9,gp:AOqpTOFjLaL73XXENkDVBKShdWXwfd1CiK1kHFUinngCq98wdAxcLQZNM873Qsl1uNrD2luDEPhw_hKOpykgfA,Ritesh Shrivastava,https://play-lh.googleusercontent.com/a-/AOh14Gh914KeqePDinbAFII2JCFHH6nOMClRQTxGUF8siA,"It's a great app..one small suggestion would be to stop prompting the users with so many notifications on whom to follow !!! PS :Loved the personalized support,attention to detail and customer responsiveness .I am upgrading my rating from 4* to 5*. :)",5,84,0.91.3,2021-07-12 01:44:47,"Dear Ritesh, Thanks for your valuable feedback. We are happy that you have liked our app. You can turn off the notifications by going to the settings of your app. Since your concern is resolved, hope you'd rate us 5 stars happily to help millions reach Koo.Thanks!",2021-07-07 10:31:56
10,gp:AOqpTOGXeVLRznOzAEYhe7rAl81XOa3F8-VPOaOeKTNruLChPDU2peloz-LZ_fBQsTSV-lAIdqR7c3MhQPJ7XA,prakash saikia,https://play-lh.googleusercontent.com/a-/AOh14GgspPY_cyo4_hY0pMTakvXufI0obJaZuxXAGDF5,"I am glad to see that Koo has included Indian regional languages. But almost all Indians follow more than one language. the problem with Koo is that I can follow only one language at a time and has to switch between English and Assamese again and again. If user can have more than one language simultaneously, it would have been much better..",5,245,0.90.0,2021-07-14 18:23:09,"Dear Prakash, Thank you for the good suggestion. We will definitely pass on your thoughts to our product development team. Hope you understand that we have built this app in just one year and have taken it this far. And our team is working on improving the app more and to do that they need support from people like you, encourage us with 5 stars.",2021-06-21 00:32:43
11,gp:AOqpTOFBfd9_9o2FBjAvuyGvf5Rw3x6TR5JjAdYgRcHTOF8InBdU9kJURigqp-Rd2RKgwKXP4TEMDIZD5Z-VxQ,Vaibhav Goel,https://play-lh.googleusercontent.com/a/AATXAJyWzJet3moyV2MjVARVjWEg_ZDw7_crh31I2No=mo,"The app is still in infancy There are flaws and it is not that smooth, but it is improving. And improvement can take time. It will grow, the rating is for future, a hope. Suggestion: When Re koo-ing something Can it be named as koo it and koo-koo it One simple re-koo and other for re-koo with a message/quote Brand building is important",5,62,0.93.6,2021-09-05 09:31:48,,
12,gp:AOqpTOElR-wOrj56aRJ-Mhk4l_9zCbrk_2mTnlcPtkEPWBpymPdsAgpW9OlDsw4PShMAyXgePF4tfH0VRYzeKQ,Parul Rai,https://play-lh.googleusercontent.com/a/AATXAJwk2gde4NCekSE-ikE-PND9N2XVyGDHHlChcDlg=mo,"Enjoy the experience although not much here. As a beginner, find this platform interesting! Thank you team Koo!",5,3,0.93.6,2021-09-22 20:25:57,"Hey Parul, thanks for the review. Glad that you love the app. At Koo, we take great pride in providing a great experience for our users. We request you to invite your friends and family onto the platform. Thanks for helping us to reach out millions of users like you. Your friend, Mehar",2021-09-23 11:29:45
